"Freq [GHz]","Diversity_Gain []"
1,9.16504406088739
1.1,9.20883172542218
1.2,9.38213828006425
1.3,9.56967135609915
1.4,9.70148382459144
1.5,9.78168808959538
1.6,9.83696510307237
1.7,9.88206844865684
1.8,9.91884416456624
1.9,9.94507090439949
2,9.95961654044985
2.1,9.96340111292449
2.2,9.95872484458976
2.3,9.94836775764188
2.4,9.93493218495865
2.5,9.92051503597818
2.6,9.90663567407942
2.7,9.8943043198092
2.8,9.88413881587417
2.9,9.87647551304755
3,9.87145024061397
3.1,9.86904598649082
3.2,9.86911711088216
3.3,9.87140475007547
3.4,9.87556384690864
3.5,9.88123971475075
3.6,9.88817352916681
3.7,9.8961712478715
3.8,9.90498028054692
3.9,9.91429738658242
4,9.92383427486912
4.1,9.9333275023607
4.2,9.94248013956265
4.3,9.95086200295206
4.4,9.95808448331776
4.5,9.96446222030635
4.6,9.97058172294019
4.7,9.97644489230256
4.8,9.9818240355671
4.9,9.98657194247601
5,9.99062475076205
5.1,9.99395902126875
5.2,9.99656671739621
5.3,9.99844390242281
5.4,9.99958666843391
5.5,9.99999157768476
5.6,9.99965975152756
5.7,9.99860415328207
5.8,9.99685921242302
5.9,9.99449105155738
6,9.99160546463505
6.1,9.98834985825872
6.2,9.98490533581184
6.3,9.98146703388654
6.4,9.97821543048934
6.5,9.97528741271968
6.6,9.97275924619555
6.7,9.97064975045328
6.8,9.96894181873688
6.9,9.96761134301139
7,9.96665131050535
7.1,9.96608442364617
7.2,9.96596406558249
7.3,9.9663666110157
7.4,9.96737801194077
7.5,9.96907628748595
7.6,9.97151064417703
7.7,9.97467811085896
7.8,9.97849988344138
7.9,9.98280189222041
8,9.98730691983264
8.1,9.99152235984683
8.2,9.99517590029477
8.3,9.99794690500494
8.4,9.99958619416747
8.5,9.99992809922847
8.6,9.9989047130331
8.7,9.99655675036319
8.8,9.99303461415257
8.9,9.98858549758398
9,9.9835271320778
9.1,9.97821379933616
9.2,9.97300235369422
9.3,9.96822423163433
9.4,9.96416561552955
9.5,9.96105471059521
9.6,9.95905380819667
9.7,9.95825420962272
9.8,9.95867328502432
9.9,9.96025415560961
10,9.96286924705396
10.1,9.96632906299686
10.2,9.97039694867471
10.3,9.97480950004765
10.4,9.97930091836787
10.5,9.9836283812347
10.6,9.98759466608606
10.7,9.99106381477087
10.8,9.99396544955071
10.9,9.99628418469893
11,9.99803492815564
11.1,9.99923351901312
11.2,9.99987710930022
11.3,9.99994345251658
11.4,9.99941478290821
11.5,9.99830711629485
11.6,9.99665301638445
11.7,9.99446790772788
11.8,9.9917508543946
11.9,9.98850787702707
12,9.98478742541733
12.1,9.9807234393453
12.2,9.97656700594605
12.3,9.97267562685247
12.4,9.96944070877223
12.5,9.96717337807886
12.6,9.96600711765602
12.7,9.96587207056118
12.8,9.96654805209835
12.9,9.96775590632646
13,9.96923803398103
13.1,9.97080273434005
13.2,9.97233400773848
13.3,9.97378095877094
13.4,9.97514023662096
13.5,9.97643928286979
13.6,9.97772315246133
13.7,9.97904490392253
13.8,9.98045853433064
13.9,9.98201329819768
14,9.98374839997883
14.1,9.98568733750243
14.2,9.98782990078416
14.3,9.99014588042287
14.4,9.99256187564913
14.5,9.99495225190621
14.6,9.9971308366553
14.7,9.99885211185537
14.8,9.99983014073902
14.9,9.99978364127275
15,9.99852594889572
