"Freq [GHz]","MEG_2 []"
1,0.138646192775858
1.1,0.15730104500424
1.2,0.167351634877591
1.3,0.178713933935252
1.4,0.19930954771203
1.5,0.229878147949841
1.6,0.265588136551895
1.7,0.300684223127925
1.8,0.331377786650866
1.9,0.356166328482605
2,0.375032429974972
2.1,0.388669130192241
2.2,0.398022574210806
2.3,0.404063412473579
2.4,0.407676471000919
2.5,0.409612415917937
2.6,0.410476351870313
2.7,0.410738456811928
2.8,0.410755173760015
2.9,0.410791878109613
3,0.411040817504309
3.1,0.411632395724109
3.2,0.412642534237946
3.3,0.414100739058227
3.4,0.416003123756693
3.5,0.418334454405376
3.6,0.421087641226226
3.7,0.424250173602472
3.8,0.427780922736026
3.9,0.431615745863743
4,0.435675896194449
4.1,0.439857368247357
4.2,0.444001276601464
4.3,0.447889836335882
4.4,0.451465623565034
4.5,0.455070655601763
4.6,0.458843133716401
4.7,0.462537319161013
4.8,0.465933397513526
4.9,0.468907806107953
5,0.471384127180839
5.1,0.473306633527178
5.2,0.474632175288732
5.3,0.475329205480584
5.4,0.475379487470297
5.5,0.474781004327817
5.6,0.473551425943966
5.7,0.471731517112897
5.8,0.469387642781342
5.9,0.466612338254973
6,0.4635219688322
6.1,0.460250913148789
6.2,0.456942433818831
6.3,0.453737297329505
6.4,0.450762074584704
6.5,0.448119628560383
6.6,0.445884150544386
6.7,0.444101840712459
6.8,0.442796184700301
6.9,0.441974926137909
7,0.441635501614545
7.1,0.441766961159393
7.2,0.442348210228305
7.3,0.443343782036825
7.4,0.444699036733436
7.5,0.44633693192462
7.6,0.448158506196919
7.7,0.450048864962396
7.8,0.451889486898476
7.9,0.453575907545458
8,0.455037472386166
8.1,0.456256635737027
8.2,0.457159378961443
8.3,0.457765208939609
8.4,0.458105206843756
8.5,0.458199031936345
8.6,0.458052188637879
8.7,0.457665032576622
8.8,0.457044545594107
8.9,0.456211462452982
9,0.455199410985882
9.1,0.454047719708923
9.2,0.452792498054212
9.3,0.45146019870149
9.4,0.450065457305498
9.5,0.448612724699446
9.6,0.447100157482455
9.7,0.445524259608028
9.8,0.443884254524223
9.9,0.442185658361468
10,0.440442856855927
10.1,0.438680675471597
10.2,0.436935027358836
10.3,0.435252749294867
10.4,0.433690672975613
10.5,0.432313810716228
10.6,0.431192322990924
10.7,0.430396892037246
10.8,0.429992549729735
10.9,0.430031901569609
11,0.43054914770585
11.1,0.431554692109151
11.2,0.433026907521774
11.3,0.434903373090842
11.4,0.437102479848921
11.5,0.439580727640409
11.6,0.442328216102819
11.7,0.445310519996098
11.8,0.448445523523721
11.9,0.451601536961857
12,0.454596261605621
12.1,0.457205035928116
12.2,0.459187669031018
12.3,0.460331970968738
12.4,0.460500110943941
12.5,0.459658916198809
12.6,0.45788184438115
12.7,0.455324616742981
12.8,0.452188000984544
12.9,0.44868285180545
13,0.445006069805255
13.1,0.441328401037718
13.2,0.437790651795866
13.3,0.434504249847385
13.4,0.431553299942199
13.5,0.428996746759694
13.6,0.426870289229926
13.7,0.425188216650783
13.8,0.423945501648526
13.9,0.423120447135507
14,0.422678095429177
14.1,0.422576018906707
14.2,0.422756823255472
14.3,0.423183006368128
14.4,0.4238071845375
14.5,0.424598614361218
14.6,0.425542309235749
14.7,0.426642388430599
14.8,0.427922054583283
14.9,0.429417748079515
15,0.431497052655894
