"Freq [GHz]","cang_rad(S(1,2)) [rad]"
1,0.8097060499589
1.1,0.659831752574953
1.2,0.42743432016001
1.3,0.156283126617994
1.4,-0.124068304701538
1.5,-0.396230988155311
1.6,-0.652415967351187
1.7,-0.891168972500154
1.8,-1.11340479796419
1.9,-1.31994482638142
2,-1.51124810875873
2.1,-1.68792783671551
2.2,-1.85101891380245
2.3,-2.0019188892677
2.4,-2.14220829184187
2.5,-2.27348250198652
2.6,-2.39723533718484
2.7,-2.51479217135074
2.8,-2.6272789876973
2.9,-2.73561444332233
3,-2.8405162109369
3.1,-2.9425183169512
3.2,-3.04200566334377
3.3,-3.13929287420359
3.4,-3.23478873448883
3.5,-3.32914250272963
3.6,-3.42296016410083
3.7,-3.51629490455312
3.8,-3.60889923413251
3.9,-3.70078583524004
4,-3.79240063459684
4.1,-3.88470032029943
4.2,-3.97925325319819
4.3,-4.07739958880967
4.4,-4.176578378972
4.5,-4.2695791143283
4.6,-4.35469151428735
4.7,-4.43641795219191
4.8,-4.51795827970342
4.9,-4.60027991719976
5,-4.68349099756122
5.1,-4.76752128835279
5.2,-4.85231409410332
5.3,-4.93786008108748
5.4,-5.02419183313367
5.5,-5.11137147206648
5.6,-5.19947844589029
5.7,-5.28859736916167
5.8,-5.37880281773398
5.9,-5.47013595036242
6,-5.56256720895161
6.1,-5.65594236447985
6.2,-5.74991832297019
6.3,-5.84391026515598
6.4,-5.93708618070707
6.5,-6.02844460789463
6.6,-6.11698393345586
6.7,-6.20192339821737
6.8,-6.2828984617638
6.9,-6.36005885695397
7,-6.43404533385192
7.1,-6.50587498645435
7.2,-6.57679064789755
7.3,-6.64812164074046
7.4,-6.72117850665279
7.5,-6.79718195554409
7.6,-6.87721453167435
7.7,-6.96218165149712
7.8,-7.05277254114734
7.9,-7.14941743610302
8,-7.25224307557902
8.1,-7.35904989152084
8.2,-7.46878548608609
8.3,-7.58092832670493
8.4,-7.69499479326784
8.5,-7.81053740650307
8.6,-7.92714013094498
8.7,-8.04441952160635
8.8,-8.16203432810941
8.9,-8.27970067558427
9,-8.39720602617101
9.1,-8.51441494274402
9.2,-8.63126332825617
9.3,-8.74774259238132
9.4,-8.86387814999968
9.5,-8.9797069368931
9.6,-9.09525728176228
9.7,-9.2105328797712
9.8,-9.32550150482438
9.9,-9.44008854777455
10,-9.55417525614429
10.1,-9.6676014585228
10.2,-9.78017248386631
10.3,-9.89166996650872
10.4,-10.0018664054011
10.5,-10.1105439272162
10.6,-10.2175188189253
10.7,-10.3226746745522
10.8,-10.4260067633721
10.9,-10.527675708928
11,-10.6280606854219
11.1,-10.7277969683604
11.2,-10.8277460541029
11.3,-10.928691741871
11.4,-11.0307324902827
11.5,-11.1335054772363
11.6,-11.2373351008942
11.7,-11.3432881999232
11.8,-11.4525130837211
11.9,-11.5658997798694
12,-11.6839432381396
12.1,-11.8066122769234
12.2,-11.9332322538534
12.3,-12.0624569124298
12.4,-12.1923873458876
12.5,-12.3208368693164
12.6,-12.4456736218914
12.7,-12.5651370361029
12.8,-12.6780412206872
12.9,-12.7838334155853
13,-12.8825319314054
13.1,-12.974596848416
13.2,-13.0607850780733
13.3,-13.1420232633996
13.4,-13.2193123905986
13.5,-13.2936644794872
13.6,-13.3660652207792
13.7,-13.4374548589373
13.8,-13.5087205802765
13.9,-13.5806954406483
14,-13.6541604926695
14.1,-13.7298477236588
14.2,-13.8084431309897
14.3,-13.8905836082993
14.4,-13.9768535509445
14.5,-14.0677685152429
14.6,-14.1637494120918
14.7,-14.2650820335835
14.8,-14.3718621139632
14.9,-14.4839298597889
15,-14.6009584719725
