"Freq [GHz]","dB10normalize(S(1,2)) []"
1,-4.65415298070625
1.1,-3.129506752167
1.2,-1.93127583911429
1.3,-1.07589466016801
1.4,-0.518859665379069
1.5,-0.1946743988786
1.6,-0.0384031722023244
1.7,0
1.8,-0.0476663257863421
1.9,-0.160874477480673
2,-0.323043322687029
2.1,-0.519020199980886
2.2,-0.735437778786144
2.3,-0.961410679706759
2.4,-1.18873509674154
2.5,-1.41166193726248
2.6,-1.62647290893615
2.7,-1.83101782617068
2.8,-2.02428909051964
2.9,-2.2060580609459
3,-2.3765695567334
3.1,-2.53627010490152
3.2,-2.68553040574892
3.3,-2.82436414867286
3.4,-2.95242809333851
3.5,-3.07004676363041
3.6,-3.17968229386578
3.7,-3.28465226900615
3.8,-3.3865759438618
3.9,-3.48572299686595
4,-3.58226061907222
4.1,-3.67602868780419
4.2,-3.76389414791919
4.3,-3.83382093747287
4.4,-3.86619203887196
4.5,-3.86448927590538
4.6,-3.86055339663059
4.7,-3.8693894066991
4.8,-3.88693213028695
4.9,-3.90700379090488
5,-3.9259411057405
5.1,-3.94200382314766
5.2,-3.95448656574439
5.3,-3.96322595376302
5.4,-3.96837325569145
5.5,-3.9703004261768
5.6,-3.96957251003396
5.7,-3.96695819314708
5.8,-3.96346635299276
5.9,-3.96039582469588
6,-3.9593704778294
6.1,-3.96230659240247
6.2,-3.9712386268109
6.3,-3.98794005724161
6.4,-4.01334733426513
6.5,-4.04692535116281
6.6,-4.08623412066568
6.7,-4.12695507810361
6.8,-4.16345753821416
6.9,-4.18972847599295
7,-4.20033576172775
7.1,-4.19114065561005
7.2,-4.15964935441018
7.3,-4.10505793000772
7.4,-4.02811981778079
7.5,-3.93095508067418
7.6,-3.81687054116484
7.7,-3.69020836707116
7.8,-3.55620591579879
7.9,-3.42083391115645
8,-3.29057902885894
8.1,-3.16600004799054
8.2,-3.053763299109
8.3,-2.95431861090576
8.4,-2.86772146828234
8.5,-2.79375119676092
8.6,-2.73195867670333
8.7,-2.68167427253789
8.8,-2.6420123814223
8.9,-2.61190422669172
9,-2.59017289220439
9.1,-2.57564024092781
9.2,-2.56723852863321
9.3,-2.56409909476212
9.4,-2.56560249564872
9.5,-2.57138835989836
9.6,-2.58133192812732
9.7,-2.59549682759481
9.8,-2.61407268251253
9.9,-2.63730428770178
10,-2.66541760264002
10.1,-2.69854694940899
10.2,-2.73666718032971
10.3,-2.77953385821124
10.4,-2.82663367494307
10.5,-2.87714721688147
10.6,-2.92992888591491
10.7,-2.98351774383296
10.8,-3.03620888348716
10.9,-3.08621986339607
11,-3.13192260438997
11.1,-3.17190576703684
11.2,-3.20439144191097
11.3,-3.22613114463028
11.4,-3.23349648191198
11.5,-3.22673902203576
11.6,-3.20986871886008
11.7,-3.18679921842226
11.8,-3.16085365744683
11.9,-3.13608065776022
12,-3.11791762367191
12.1,-3.11298764695166
12.2,-3.12825736477556
12.3,-3.16978728245175
12.4,-3.24141837741279
12.5,-3.34382261680267
12.6,-3.47425043990786
12.7,-3.6270395784276
12.8,-3.79465582175412
12.9,-3.9688863814378
13,-4.14185380861975
13.1,-4.30668267569503
13.2,-4.45781345638332
13.3,-4.59105091735861
13.4,-4.70345629274406
13.5,-4.79317320712791
13.6,-4.85924551155733
13.7,-4.90145713269091
13.8,-4.92020511934259
13.9,-4.91640690053129
14,-4.89143870055569
14.1,-4.84709377235489
14.2,-4.78563863082569
14.3,-4.70967796922146
14.4,-4.62237564164462
14.5,-4.52739960959294
14.6,-4.42900528763223
14.7,-4.3320649506121
14.8,-4.2420392891569
14.9,-4.16485118569219
15,-4.10507599242665
