"Freq [GHz]","ang_rad(S(1,2)) [rad]"
1,0.809706049958898
1.1,0.659831752574953
1.2,0.427434320160011
1.3,0.156283126617994
1.4,-0.124068304701538
1.5,-0.39623098815531
1.6,-0.652415967351188
1.7,-0.891168972500154
1.8,-1.11340479796419
1.9,-1.31994482638142
2,-1.51124810875873
2.1,-1.68792783671551
2.2,-1.85101891380245
2.3,-2.0019188892677
2.4,-2.14220829184187
2.5,-2.27348250198652
2.6,-2.39723533718484
2.7,-2.51479217135074
2.8,-2.6272789876973
2.9,-2.73561444332233
3,-2.8405162109369
3.1,-2.9425183169512
3.2,-3.04200566334377
3.3,-3.13929287420359
3.4,3.04839657269076
3.5,2.95404280444995
3.6,2.86022514307875
3.7,2.76689040262647
3.8,2.67428607304708
3.9,2.58239947193954
4,2.49078467258274
4.1,2.39848498688016
4.2,2.30393205398139
4.3,2.20578571836992
4.4,2.10660692820758
4.5,2.01360619285128
4.6,1.92849379289224
4.7,1.84676735498767
4.8,1.76522702747617
4.9,1.68290538997983
5,1.59969430961837
5.1,1.51566401882679
5.2,1.43087121307627
5.3,1.3453252260921
5.4,1.25899347404591
5.5,1.1718138351131
5.6,1.08370686128929
5.7,0.994587938017915
5.8,0.90438248944561
5.9,0.813049356817165
6,0.720618098227975
6.1,0.627242942699743
6.2,0.533266984209394
6.3,0.439275042023608
6.4,0.346099126472514
6.5,0.254740699284955
6.6,0.166201373723722
6.7,0.0812619089622171
6.8,0.000286845415788602
6.9,-0.0768735497743884
7,-0.150860026672334
7.1,-0.222689679274761
7.2,-0.293605340717962
7.3,-0.364936333560871
7.4,-0.437993199473204
7.5,-0.513996648364498
7.6,-0.594029224494762
7.7,-0.678996344317537
7.8,-0.769587233967754
7.9,-0.866232128923438
8,-0.969057768399433
8.1,-1.07586458434125
8.2,-1.18560017890651
8.3,-1.29774301952534
8.4,-1.41180948608825
8.5,-1.52735209932349
8.6,-1.6439548237654
8.7,-1.76123421442677
8.8,-1.87884902092982
8.9,-1.99651536840469
9,-2.11402071899143
9.1,-2.23122963556443
9.2,-2.34807802107658
9.3,-2.46455728520174
9.4,-2.5806928428201
9.5,-2.69652162971351
9.6,-2.81207197458269
9.7,-2.92734757259162
9.8,-3.04231619764479
9.9,3.12628206658462
10,3.01219535821488
10.1,2.89876915583637
10.2,2.78619813049286
10.3,2.67470064785046
10.4,2.5645042089581
10.5,2.45582668714292
10.6,2.34885179543392
10.7,2.24369593980702
10.8,2.1403638509871
10.9,2.03869490543113
11,1.93830992893725
11.1,1.83857364599875
11.2,1.73862456025624
11.3,1.63767887248816
11.4,1.53563812407649
11.5,1.43286513712284
11.6,1.32903551346501
11.7,1.22308241443596
11.8,1.11385753063812
11.9,1.00047083448977
12,0.882427376219586
12.1,0.759758337435753
12.2,0.633138360505755
12.3,0.503913701929347
12.4,0.373983268471623
12.5,0.245533745042817
12.6,0.120696992467777
12.7,0.00123357825630549
12.8,-0.111670606327996
12.9,-0.217462801226082
13,-0.31616131704619
13.1,-0.408226234056823
13.2,-0.494414463714096
13.3,-0.575652649040386
13.4,-0.652941776239443
13.5,-0.727293865128034
13.6,-0.799694606420035
13.7,-0.871084244578115
13.8,-0.94234996591735
13.9,-1.01432482628909
14,-1.08778987831036
14.1,-1.16347710929963
14.2,-1.24207251663057
14.3,-1.3242129939401
14.4,-1.41048293658533
14.5,-1.50139790088368
14.6,-1.59737879773259
14.7,-1.69871141922435
14.8,-1.80549149960404
14.9,-1.91755924542973
15,-2.03458785761334
