"Freq [GHz]","arg(S(2,2)) [deg]"
1,-74.5030999191216
1.1,-82.0225480727013
1.2,-90.824810546033
1.3,-101.231720042927
1.4,-113.133280932664
1.5,-126.24957397312
1.6,-140.446747477374
1.7,-155.879268719212
1.8,-173.023656533064
1.9,167.398305212721
2,144.909333666629
2.1,120.414159209901
2.2,96.6384742230036
2.3,76.1093478198401
2.4,59.4307381635866
2.5,45.960197617951
2.6,34.8477370835699
2.7,25.4171453489167
2.8,17.1935604742773
2.9,9.84934709176727
3,3.15266071658779
3.1,-3.06717827733396
3.2,-8.93994651002987
3.3,-14.5657041753711
3.4,-20.0215361555226
3.5,-25.367088167591
3.6,-30.6516180694856
3.7,-35.9211766195452
3.8,-41.2210233533099
3.9,-46.5962120423439
4,-52.0935147515594
4.1,-57.7596659355027
4.2,-63.6205529410863
4.3,-69.6130907015113
4.4,-75.5659927378369
4.5,-81.598725510547
4.6,-88.2208117657767
4.7,-95.7218279278858
4.8,-104.2333816566
4.9,-113.956454598533
5,-125.18681735747
5.1,-138.244474886459
5.2,-153.297063468353
5.3,-170.06238047938
5.4,172.397024056301
5.5,155.387314709904
5.6,139.914686987075
5.7,126.335413275994
5.8,114.523569734545
5.9,104.169448275824
6,94.9591740832941
6.1,86.6369774302498
6.2,79.0109001819676
6.3,71.9405359466099
6.4,65.3228130021708
6.5,59.0808107687506
6.6,53.1562502427439
6.7,47.5048007115887
6.8,42.0931629106015
6.9,36.8973212709897
7,31.9018207856673
7.1,27.1000753419877
7.2,22.49560411398
7.3,18.1039324368468
7.4,13.9547860896239
7.5,10.0941165580155
7.6,6.58534473365742
7.7,3.50896323293934
7.8,0.959335634259017
7.9,-0.962623588981404
8,-2.16173482435421
8.1,-2.66584035508704
8.2,-2.23556343103879
8.3,-0.894385027383846
8.4,1.35297859765503
8.5,4.47990978651277
8.6,8.36768788758977
8.7,12.7499025999663
8.8,17.2333604710938
8.9,21.4109365081721
9,24.9917673269783
9.1,27.8564774123673
9.2,30.0247997825765
9.3,31.5878085008921
9.4,32.6513984310977
9.5,33.3054265479608
9.6,33.6135197170639
9.7,33.6145228636221
9.8,33.3287855136591
9.9,32.7653762542874
10,31.9283293245914
10.1,30.8212157402137
10.2,29.450007946767
10.3,27.8245827298782
10.4,25.9593767504906
10.5,23.8737058322724
10.6,21.5920970689447
10.7,19.1446906519519
10.8,16.5674301161643
10.9,13.9015477232833
11,11.1919840807349
11.1,8.48496068222035
11.2,5.82585032414977
11.3,3.25954522122673
11.4,0.835329266732872
11.5,-1.3847515390046
11.6,-3.31329782544506
11.7,-4.81578695689817
11.8,-5.68165236985425
11.9,-5.5972609906079
12,-4.1435493019875
12.1,-0.878732321637947
12.2,4.39338830125647
12.3,11.1852920546646
12.4,18.1851215505373
12.5,23.9359662732464
12.6,27.6907466051073
12.7,29.4918458136119
12.8,29.7498979310053
12.9,28.9124132237984
13,27.3389986328469
13.1,25.2871957689785
13.2,22.9330878786899
13.3,20.3955865154664
13.4,17.755694685696
13.5,15.0698937693166
13.6,12.378856520534
13.7,9.71287426215175
13.8,7.09510291684987
13.9,4.54341251896034
14,2.07137277411497
14.1,-0.31133407562595
14.2,-2.59810753758839
14.3,-4.78661075607401
14.4,-6.87678688481652
14.5,-8.87121605191964
14.6,-10.7736789750523
14.7,-12.5873218374333
14.8,-14.3121051398063
14.9,-15.9416359259242
15,-17.5122674167924
